CPU,RAM,DISCO,DATA_HORA
19.9,"[25647747072, 11040182272, 43.0]","[837765033984, 250444013568, 29.9]",2026-03-03 19:44:51.160245
6.3,"[25647747072, 11030585344, 43.0]","[837765033984, 250427252736, 29.9]",2026-03-03 19:44:54.170284
43.7,"[25647747072, 11051806720, 43.1]","[837765033984, 250429333504, 29.9]",2026-03-03 19:44:57.183895
3.3,"[25647747072, 11042492416, 43.1]","[837765033984, 250432372736, 29.9]",2026-03-03 19:45:01.641696
14.0,"[25647747072, 11034775552, 43.0]","[837765033984, 250434363392, 29.9]",2026-03-03 19:45:04.652842
15.9,"[25647747072, 11041927168, 43.1]","[837765033984, 250436403200, 29.9]",2026-03-03 19:45:07.660946
8.3,"[25647747072, 11017900032, 43.0]","[837765033984, 250438459392, 29.9]",2026-03-03 19:45:10.674240
3.3,"[25647747072, 11027214336, 43.0]","[837765033984, 250440646656, 29.9]",2026-03-03 19:45:13.680020
6.2,"[25647747072, 11071008768, 43.2]","[837765033984, 250442698752, 29.9]",2026-03-03 19:45:16.708585
9.6,"[25647747072, 11127537664, 43.4]","[837765033984, 250404560896, 29.9]",2026-03-03 19:45:19.714457
3.7,"[25647747072, 11136446464, 43.4]","[837765033984, 250406461440, 29.9]",2026-03-03 19:45:22.722935
5.2,"[25647747072, 11156783104, 43.5]","[837765033984, 250408427520, 29.9]",2026-03-03 19:45:25.733507
4.5,"[25647747072, 11135787008, 43.4]","[837765033984, 250410614784, 29.9]",2026-03-03 19:45:28.743347
4.5,"[25647747072, 11116331008, 43.3]","[837765033984, 250412519424, 29.9]",2026-03-03 19:45:31.750689
3.5,"[25647747072, 11146092544, 43.5]","[837765033984, 250414710784, 29.9]",2026-03-03 19:45:34.758670
2.3,"[25647747072, 11133538304, 43.4]","[837765033984, 250416271360, 29.9]",2026-03-03 19:45:37.764483
7.8,"[25647747072, 11142324224, 43.4]","[837765033984, 250412933120, 29.9]",2026-03-03 19:45:40.775094
7.8,"[25647747072, 11183407104, 43.6]","[837765033984, 250414759936, 29.9]",2026-03-03 19:45:43.789244
6.2,"[25647747072, 11188822016, 43.6]","[837765033984, 250416902144, 29.9]",2026-03-03 19:45:46.796087
6.8,"[25647747072, 11179520000, 43.6]","[837765033984, 250419216384, 29.9]",2026-03-03 19:45:49.886424
3.5,"[25647747072, 11165413376, 43.5]","[837765033984, 250421121024, 29.9]",2026-03-03 19:45:52.891426
11.1,"[25647747072, 11141697536, 43.4]","[837765033984, 250423181312, 29.9]",2026-03-03 19:45:55.940705
11.1,"[25647747072, 10848559104, 42.3]","[837765033984, 250424365056, 29.9]",2026-03-03 19:45:58.948370
7.2,"[25647747072, 10844672000, 42.3]","[837765033984, 250397237248, 29.9]",2026-03-03 19:46:01.958664
9.6,"[25647747072, 10877169664, 42.4]","[837765033984, 250345562112, 29.9]",2026-03-03 19:46:04.964840
14.3,"[25647747072, 10893340672, 42.5]","[837765033984, 250347208704, 29.9]",2026-03-03 19:46:07.969454
